[2022-02-10 07:48:49,252][root][INFO] - Cleaning data and saving clean version
[2022-02-10 07:48:52,659][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,663][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,668][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,672][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,676][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,681][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,685][root][INFO] - native_country - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,689][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,694][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,698][root][INFO] - native_country - Precision:1.0 Recall:0.2 F Beta Score: 0.33333333333333337
[2022-02-10 07:48:52,702][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,707][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,711][root][INFO] - native_country - Precision:1.0 Recall:0.25 F Beta Score: 0.4
[2022-02-10 07:48:52,715][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,720][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
